Tipo;Rank;Country;Documents;Citable documents;Citations;Self-citations;Citations per document;H index;%GDP;# Inv.Million;GDP;Pop;GDP capita;$ CyT;Inv. Totales;Doc/Inv;Doc/popx106;Doc/GDP;S CyT/doc;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;89;Armenia;16995;16433;246462;45259;14,5;177;0,23;;11536590636;2944791;3918;26534158,4628;;;5580,36206983789;1,42442429643995E-06;1614,68742547313;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;92;Azerbaijan;13693;13325;97159;18057;7,1;103;0,19;;40747792238;9845320;4139;77420805,2522;;;1353,43493152076;3,27011581932372E-07;5810,19176376735;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;101;Moldova;7794;7495;85362;12207;10,95;411;0,3;724;8128493432;4059684;2002;24385480,296;2939,211216;2,55000387831944;1846,20280790328;9,22065086562525E-07;3253,56641707805;;;;;;;;;;;
;102;Malta;7481;6433;95332;7131;12,74;94;0,6;1931;12518134319;437933;28585;75108805,914;845,648623;7,60717847228139;14689,4616299754;5,1389446990004E-07;11675,5488751749;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;110;Trinidad and Tobago;6659;5913;68888;5007;10,35;27;0,09;;22079017627;1384059;15952;19871115,8643;;;4272,21671908495;2,67810828357196E-07;3360,5810695586;;;;;;;;;;;
;111;Jamaica;6566;5629;87112;7526;13,27;953;0,06;;14781107822;2920848;5061;8868664,6932;;;1927,18005182057;3,80823959055482E-07;1575,53112332564;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;119;Albania;4727;4445;30255;2590;6,4;62;0,15;156;13038538300;2884169;4521;19557807,45;449,930364;9,87930656753808;1541,17182453594;3,40912447218106E-07;4399,95668166479;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;124;Montenegro;3920;3687;21019;4227;5,36;91;0,37;833;4844592067;627563;772;17924990,6479;522,759979;7,0529500116917;5875,10735973918;7,61054790374366E-07;4861,67362297261;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
B;151;El Salvador;1622;1490;21421;964;13,21;60;0,15;66;24805439600;6388126;3883;37208159,4;421,616316;3,53401883052363;233,245242814559;6,00674700399182E-08;24971,9190604027;;;;;;;;;;;
B;154;Honduras;1465;1354;21360;900;14,58;1;0,01;23;22978532897;9429013;2437;2297853,2897;216,867299;6,24344936393569;143,599335370521;5,89245625936708E-08;1697,08514748892;;;;;;;;;;;
